### Level $000 ###
00: $82 - Bonus game sprite (0x0050, 0x0070)

### Level $001 ###
00: $09 - Green Koopa Troopa bouncing (0x0100, 0x0170)
01: $09 - Green Koopa Troopa bouncing (0x0110, 0x0160)
02: $09 - Green Koopa Troopa bouncing (0x01F0, 0x0170)
03: $09 - Green Koopa Troopa bouncing (0x0240, 0x0160)
04: $09 - Green Koopa Troopa bouncing (0x0280, 0x0150)
05: $09 - Green Koopa Troopa bouncing (0x0320, 0x0150)
06: $09 - Green Koopa Troopa bouncing (0x0350, 0x0150)
07: $09 - Green Koopa Troopa bouncing (0x0380, 0x0150)
08: $09 - Green Koopa Troopa bouncing (0x0410, 0x0140)
09: $09 - Green Koopa Troopa bouncing (0x0450, 0x0160)
10: $09 - Green Koopa Troopa bouncing (0x0490, 0x0160)
11: $09 - Green Koopa Troopa bouncing (0x0510, 0x0160)
12: $09 - Green Koopa Troopa bouncing (0x0530, 0x0150)
13: $09 - Green Koopa Troopa bouncing (0x05A0, 0x0150)
14: $09 - Green Koopa Troopa bouncing (0x05C0, 0x0140)
15: $09 - Green Koopa Troopa bouncing (0x05F0, 0x0150)
16: $09 - Green Koopa Troopa bouncing (0x0610, 0x0160)
17: $09 - Green Koopa Troopa bouncing (0x0640, 0x0130)
18: $09 - Green Koopa Troopa bouncing (0x0670, 0x0140)
19: $09 - Green Koopa Troopa bouncing (0x06B0, 0x0170)
20: $09 - Green Koopa Troopa bouncing (0x06D0, 0x0160)
21: $09 - Green Koopa Troopa bouncing (0x0710, 0x0140)
22: $09 - Green Koopa Troopa bouncing (0x0730, 0x0130)
23: $09 - Green Koopa Troopa bouncing (0x0780, 0x0170)
24: $09 - Green Koopa Troopa bouncing (0x07A0, 0x0160)
25: $4F - Jumping Piranha Plant (0x0830, 0x0160)
26: $D9 - Turn Off Generators (0x0880, 0x0000)
27: $4F - Jumping Piranha Plant (0x08B0, 0x0160)
28: $13 - Spiny (0x0AA0, 0x00F0)
29: $CD - Para-Bomb generator (0x0B60, 0x0000)
30: $4B - Pipe-dwelling Lakitu (0x0B60, 0x0150)
31: $CD - Para-Bomb generator (0x0C90, 0x0000)
32: $13 - Spiny (0x0CF0, 0x0140)
33: $13 - Spiny (0x0D30, 0x0160)
34: $D9 - Turn Off Generators (0x0E10, 0x0000)
35: $13 - Spiny (0x0E90, 0x0170)
36: $13 - Spiny (0x0EA0, 0x0170)
37: $13 - Spiny (0x0EB0, 0x0170)
38: $13 - Spiny (0x0EC0, 0x0170)
39: $13 - Spiny (0x0ED0, 0x0170)
40: $13 - Spiny (0x0EE0, 0x0170)
41: $13 - Spiny (0x0EF0, 0x0170)
